NAME                                                                           VERSION                              TYPE                                     
@alloc/quick-lru                                                               5.2.0                                npm                                      
@apideck/better-ajv-errors                                                     0.3.6                                npm                                      
@babel/code-frame                                                              7.27.1                               npm                                      
@babel/code-frame                                                              7.29.0                               npm                                      
@babel/compat-data                                                             7.28.4                               npm                                      
@babel/compat-data                                                             7.29.0                               npm                                      
@babel/core                                                                    7.28.4                               npm                                      
@babel/core                                                                    7.29.0                               npm                                      
@babel/eslint-parser                                                           7.28.4                               npm                                      
@babel/generator                                                               7.28.3                               npm                                      
@babel/generator                                                               7.29.1                               npm                                      
@babel/helper-annotate-as-pure                                                 7.27.3                               npm                                      
@babel/helper-compilation-targets                                              7.27.2                               npm                                      
@babel/helper-compilation-targets                                              7.28.6                               npm                                      
@babel/helper-create-class-features-plugin                                     7.28.3                               npm                                      
@babel/helper-create-regexp-features-plugin                                    7.27.1                               npm                                      
@babel/helper-define-polyfill-provider                                         0.6.5                                npm                                      
@babel/helper-globals                                                          7.28.0                               npm                     (+1 duplicate)   
@babel/helper-member-expression-to-functions                                   7.27.1                               npm                                      
@babel/helper-module-imports                                                   7.27.1                               npm                                      
@babel/helper-module-imports                                                   7.28.6                               npm                                      
@babel/helper-module-transforms                                                7.28.3                               npm                                      
@babel/helper-module-transforms                                                7.28.6                               npm                                      
@babel/helper-optimise-call-expression                                         7.27.1                               npm                                      
@babel/helper-plugin-utils                                                     7.27.1                               npm                                      
@babel/helper-remap-async-to-generator                                         7.27.1                               npm                                      
@babel/helper-replace-supers                                                   7.27.1                               npm                                      
@babel/helper-skip-transparent-expression-wrappers                             7.27.1                               npm                                      
@babel/helper-string-parser                                                    7.27.1                               npm                     (+1 duplicate)   
@babel/helper-validator-identifier                                             7.27.1                               npm                                      
@babel/helper-validator-identifier                                             7.28.5                               npm                                      
@babel/helper-validator-option                                                 7.27.1                               npm                     (+1 duplicate)   
@babel/helper-wrap-function                                                    7.28.3                               npm                                      
@babel/helpers                                                                 7.28.4                               npm                                      
@babel/helpers                                                                 7.28.6                               npm                                      
@babel/parser                                                                  7.28.4                               npm                                      
@babel/parser                                                                  7.29.0                               npm                                      
@babel/plugin-bugfix-firefox-class-in-computed-class-key                       7.27.1                               npm                                      
@babel/plugin-bugfix-safari-class-field-initializer-scope                      7.27.1                               npm                                      
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression  7.27.1                               npm                                      
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining                 7.27.1                               npm                                      
@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly                  7.28.3                               npm                                      
@babel/plugin-proposal-class-properties                                        7.18.6                               npm                                      
@babel/plugin-proposal-decorators                                              7.28.0                               npm                                      
@babel/plugin-proposal-nullish-coalescing-operator                             7.18.6                               npm                                      
@babel/plugin-proposal-numeric-separator                                       7.18.6                               npm                                      
@babel/plugin-proposal-optional-chaining                                       7.21.0                               npm                                      
@babel/plugin-proposal-private-methods                                         7.18.6                               npm                                      
@babel/plugin-proposal-private-property-in-object                              7.21.0-placeholder-for-preset-env.2  npm                                      
@babel/plugin-proposal-private-property-in-object                              7.21.11                              npm                                      
@babel/plugin-syntax-async-generators                                          7.8.4                                npm                                      
@babel/plugin-syntax-bigint                                                    7.8.3                                npm                                      
@babel/plugin-syntax-class-properties                                          7.12.13                              npm                                      
@babel/plugin-syntax-class-static-block                                        7.14.5                               npm                                      
@babel/plugin-syntax-decorators                                                7.27.1                               npm                                      
@babel/plugin-syntax-flow                                                      7.27.1                               npm                                      
@babel/plugin-syntax-import-assertions                                         7.27.1                               npm                                      
@babel/plugin-syntax-import-attributes                                         7.27.1                               npm                                      
@babel/plugin-syntax-import-meta                                               7.10.4                               npm                                      
@babel/plugin-syntax-json-strings                                              7.8.3                                npm                                      
@babel/plugin-syntax-jsx                                                       7.27.1                               npm                                      
@babel/plugin-syntax-logical-assignment-operators                              7.10.4                               npm                                      
@babel/plugin-syntax-nullish-coalescing-operator                               7.8.3                                npm                                      
@babel/plugin-syntax-numeric-separator                                         7.10.4                               npm                                      
@babel/plugin-syntax-object-rest-spread                                        7.8.3                                npm                                      
@babel/plugin-syntax-optional-catch-binding                                    7.8.3                                npm                                      
@babel/plugin-syntax-optional-chaining                                         7.8.3                                npm                                      
@babel/plugin-syntax-private-property-in-object                                7.14.5                               npm                                      
@babel/plugin-syntax-top-level-await                                           7.14.5                               npm                                      
@babel/plugin-syntax-typescript                                                7.27.1                               npm                                      
@babel/plugin-syntax-unicode-sets-regex                                        7.18.6                               npm                                      
@babel/plugin-transform-arrow-functions                                        7.27.1                               npm                                      
@babel/plugin-transform-async-generator-functions                              7.28.0                               npm                                      
@babel/plugin-transform-async-to-generator                                     7.27.1                               npm                                      
@babel/plugin-transform-block-scoped-functions                                 7.27.1                               npm                                      
@babel/plugin-transform-block-scoping                                          7.28.4                               npm                                      
@babel/plugin-transform-class-properties                                       7.27.1                               npm                                      
@babel/plugin-transform-class-static-block                                     7.28.3                               npm                                      
@babel/plugin-transform-classes                                                7.28.4                               npm                                      
@babel/plugin-transform-computed-properties                                    7.27.1                               npm                                      
@babel/plugin-transform-destructuring                                          7.28.0                               npm                                      
@babel/plugin-transform-dotall-regex                                           7.27.1                               npm                                      
@babel/plugin-transform-duplicate-keys                                         7.27.1                               npm                                      
@babel/plugin-transform-duplicate-named-capturing-groups-regex                 7.27.1                               npm                                      
@babel/plugin-transform-dynamic-import                                         7.27.1                               npm                                      
@babel/plugin-transform-explicit-resource-management                           7.28.0                               npm                                      
@babel/plugin-transform-exponentiation-operator                                7.27.1                               npm                                      
@babel/plugin-transform-export-namespace-from                                  7.27.1                               npm                                      
@babel/plugin-transform-flow-strip-types                                       7.27.1                               npm                                      
@babel/plugin-transform-for-of                                                 7.27.1                               npm                                      
@babel/plugin-transform-function-name                                          7.27.1                               npm                                      
@babel/plugin-transform-json-strings                                           7.27.1                               npm                                      
@babel/plugin-transform-literals                                               7.27.1                               npm                                      
@babel/plugin-transform-logical-assignment-operators                           7.27.1                               npm                                      
@babel/plugin-transform-member-expression-literals                             7.27.1                               npm                                      
@babel/plugin-transform-modules-amd                                            7.27.1                               npm                                      
@babel/plugin-transform-modules-commonjs                                       7.27.1                               npm                                      
@babel/plugin-transform-modules-systemjs                                       7.27.1                               npm                                      
@babel/plugin-transform-modules-umd                                            7.27.1                               npm                                      
@babel/plugin-transform-named-capturing-groups-regex                           7.27.1                               npm                                      
@babel/plugin-transform-new-target                                             7.27.1                               npm                                      
@babel/plugin-transform-nullish-coalescing-operator                            7.27.1                               npm                                      
@babel/plugin-transform-numeric-separator                                      7.27.1                               npm                                      
@babel/plugin-transform-object-rest-spread                                     7.28.4                               npm                                      
@babel/plugin-transform-object-super                                           7.27.1                               npm                                      
@babel/plugin-transform-optional-catch-binding                                 7.27.1                               npm                                      
@babel/plugin-transform-optional-chaining                                      7.27.1                               npm                                      
@babel/plugin-transform-parameters                                             7.27.7                               npm                                      
@babel/plugin-transform-private-methods                                        7.27.1                               npm                                      
@babel/plugin-transform-private-property-in-object                             7.27.1                               npm                                      
@babel/plugin-transform-property-literals                                      7.27.1                               npm                                      
@babel/plugin-transform-react-constant-elements                                7.27.1                               npm                                      
@babel/plugin-transform-react-display-name                                     7.28.0                               npm                                      
@babel/plugin-transform-react-jsx                                              7.27.1                               npm                                      
@babel/plugin-transform-react-jsx-development                                  7.27.1                               npm                                      
@babel/plugin-transform-react-pure-annotations                                 7.27.1                               npm                                      
@babel/plugin-transform-regenerator                                            7.28.4                               npm                                      
@babel/plugin-transform-regexp-modifiers                                       7.27.1                               npm                                      
@babel/plugin-transform-reserved-words                                         7.27.1                               npm                                      
@babel/plugin-transform-runtime                                                7.28.3                               npm                                      
@babel/plugin-transform-shorthand-properties                                   7.27.1                               npm                                      
@babel/plugin-transform-spread                                                 7.27.1                               npm                                      
@babel/plugin-transform-sticky-regex                                           7.27.1                               npm                                      
@babel/plugin-transform-template-literals                                      7.27.1                               npm                                      
@babel/plugin-transform-typeof-symbol                                          7.27.1                               npm                                      
@babel/plugin-transform-typescript                                             7.28.0                               npm                                      
@babel/plugin-transform-unicode-escapes                                        7.27.1                               npm                                      
@babel/plugin-transform-unicode-property-regex                                 7.27.1                               npm                                      
@babel/plugin-transform-unicode-regex                                          7.27.1                               npm                                      
@babel/plugin-transform-unicode-sets-regex                                     7.27.1                               npm                                      
@babel/preset-env                                                              7.28.3                               npm                                      
@babel/preset-modules                                                          0.1.6-no-external-plugins            npm                                      
@babel/preset-react                                                            7.27.1                               npm                                      
@babel/preset-typescript                                                       7.27.1                               npm                                      
@babel/runtime                                                                 7.28.4                               npm                                      
@babel/runtime                                                                 7.28.6                               npm                                      
@babel/template                                                                7.27.2                               npm                                      
@babel/template                                                                7.28.6                               npm                                      
@babel/traverse                                                                7.28.4                               npm                                      
@babel/traverse                                                                7.29.0                               npm                                      
@babel/types                                                                   7.28.4                               npm                                      
@babel/types                                                                   7.29.0                               npm                                      
@bcoe/v8-coverage                                                              0.2.3                                npm                                      
@csstools/normalize.css                                                        12.1.1                               npm                                      
@csstools/postcss-cascade-layers                                               1.1.1                                npm                                      
@csstools/postcss-color-function                                               1.1.1                                npm                                      
@csstools/postcss-font-format-keywords                                         1.0.1                                npm                                      
@csstools/postcss-hwb-function                                                 1.0.2                                npm                                      
@csstools/postcss-ic-unit                                                      1.0.1                                npm                                      
@csstools/postcss-is-pseudo-class                                              2.0.7                                npm                                      
@csstools/postcss-nested-calc                                                  1.0.0                                npm                                      
@csstools/postcss-normalize-display-values                                     1.0.1                                npm                                      
@csstools/postcss-oklab-function                                               1.1.1                                npm                                      
@csstools/postcss-progressive-custom-properties                                1.3.0                                npm                                      
@csstools/postcss-stepped-value-functions                                      1.0.1                                npm                                      
@csstools/postcss-text-decoration-shorthand                                    1.0.0                                npm                                      
@csstools/postcss-trigonometric-functions                                      1.0.2                                npm                                      
@csstools/postcss-unset-value                                                  1.0.2                                npm                                      
@csstools/selector-specificity                                                 2.2.0                                npm                                      
@daily-co/daily-js                                                             0.72.2                               npm                                      
@daily-co/daily-js                                                             0.87.0                               npm                                      
@daily-co/daily-react                                                          0.24.0                               npm                                      
@emnapi/runtime                                                                1.8.1                                npm                                      
@eslint-community/eslint-utils                                                 4.9.0                                npm                                      
@eslint-community/regexpp                                                      4.12.1                               npm                                      
@eslint/eslintrc                                                               2.1.4                                npm                                      
@eslint/js                                                                     8.57.1                               npm                                      
@humanwhocodes/config-array                                                    0.13.0                               npm                                      
@humanwhocodes/module-importer                                                 1.0.1                                npm                                      
@humanwhocodes/object-schema                                                   2.0.3                                npm                                      
@img/colour                                                                    1.1.0                                npm                                      
@img/sharp-darwin-arm64                                                        0.34.5                               npm                                      
@img/sharp-darwin-x64                                                          0.34.5                               npm                                      
@img/sharp-libvips-darwin-arm64                                                1.2.4                                npm                                      
@img/sharp-libvips-darwin-x64                                                  1.2.4                                npm                                      
@img/sharp-libvips-linux-arm                                                   1.2.4                                npm                                      
@img/sharp-libvips-linux-arm64                                                 1.2.4                                npm                                      
@img/sharp-libvips-linux-ppc64                                                 1.2.4                                npm                                      
@img/sharp-libvips-linux-riscv64                                               1.2.4                                npm                                      
@img/sharp-libvips-linux-s390x                                                 1.2.4                                npm                                      
@img/sharp-libvips-linux-x64                                                   1.2.4                                npm                                      
@img/sharp-libvips-linuxmusl-arm64                                             1.2.4                                npm                                      
@img/sharp-libvips-linuxmusl-x64                                               1.2.4                                npm                                      
@img/sharp-linux-arm                                                           0.34.5                               npm                                      
@img/sharp-linux-arm64                                                         0.34.5                               npm                                      
@img/sharp-linux-ppc64                                                         0.34.5                               npm                                      
@img/sharp-linux-riscv64                                                       0.34.5                               npm                                      
@img/sharp-linux-s390x                                                         0.34.5                               npm                                      
@img/sharp-linux-x64                                                           0.34.5                               npm                                      
@img/sharp-linuxmusl-arm64                                                     0.34.5                               npm                                      
@img/sharp-linuxmusl-x64                                                       0.34.5                               npm                                      
@img/sharp-wasm32                                                              0.34.5                               npm                                      
@img/sharp-win32-arm64                                                         0.34.5                               npm                                      
@img/sharp-win32-ia32                                                          0.34.5                               npm                                      
@img/sharp-win32-x64                                                           0.34.5                               npm                                      
@isaacs/cliui                                                                  8.0.2                                npm                                      
@istanbuljs/load-nyc-config                                                    1.1.0                                npm                                      
@istanbuljs/schema                                                             0.1.3                                npm                                      
@jest/console                                                                  27.5.1                               npm                                      
@jest/console                                                                  28.1.3                               npm                                      
@jest/core                                                                     27.5.1                               npm                                      
@jest/environment                                                              27.5.1                               npm                                      
@jest/fake-timers                                                              27.5.1                               npm                                      
@jest/globals                                                                  27.5.1                               npm                                      
@jest/reporters                                                                27.5.1                               npm                                      
@jest/schemas                                                                  28.1.3                               npm                                      
@jest/source-map                                                               27.5.1                               npm                                      
@jest/test-result                                                              27.5.1                               npm                                      
@jest/test-result                                                              28.1.3                               npm                                      
@jest/test-sequencer                                                           27.5.1                               npm                                      
@jest/transform                                                                27.5.1                               npm                                      
@jest/types                                                                    27.5.1                               npm                                      
@jest/types                                                                    28.1.3                               npm                                      
@jridgewell/gen-mapping                                                        0.3.13                               npm                     (+1 duplicate)   
@jridgewell/remapping                                                          2.3.5                                npm                     (+1 duplicate)   
